	index	genre	filename	year	old_index	source1	source2	sentence1	sentence2	score
5303	5346	main-news	headlines	2015	972	none	none	Ride operator charged in N.C. fair accident	N.C. State Fair ride operator arrested after accident	4.4
1641	1641	main-captions	images	2015	444	none	none	A dog carries a leash in its mouth.	A fluffy dog carries a black leash in its mouth.	4.2
5258	5301	main-news	headlines	2015	863	none	none	Google Unveils Prototype Self-Driving Car	Google Unveils Concept Self-Driving Car	5.0
2236	2239	main-forum	deft-forum	2014	239	none	none	Atlas Shrugged It's also a stellar performer in terms of blithering idiocy.	It's also a stellar performer in terms of blithering idiocy.	3.6
2177	2180	main-forum	deft-forum	2014	180	none	none	Tell us what the charges were.	Yes what are his charges.	4.0
719	719	main-captions	MSRvid	2012train	321	none	none	The woman is riding a horse.	A man is riding a horse in an arena.	2.0
4385	4428	main-news	headlines	2014	103	none	none	Ships Train for Syrian Chemical Weapons Transport	Syria Loads Chemical Weapons into Bombs, Awaiting Assad Order	2.6
4336	4379	main-news	headlines	2014	35	none	none	Taliban attacks kill 17 civilians in Afghanistan	Series of attacks kill 10 police in Afghanistan	1.4
5149	5192	main-news	headlines	2015	600	none	none	Tropical Storm Karen targets US Gulf Coast	Tropical Storm Karen poised to make landfall	3.8
4521	4564	main-news	headlines	2014	269	none	none	N Korea says it may delay controversial rocket launch	N. Korea looks set to delay controversial rocket launch	4.2
2100	2103	main-forum	deft-forum	2014	103	none	none	"Oh, you're such a good person!	You're such a bad person!"	1.8	
2684	2699	main-news	MSRpar	2012test	385	none	none	In 2002, Linksys overtook Cisco Systems as the leading wireless equipment vendor, accounting for 14.1 percent of revenue.	Rolfe said Linksys overtook Cisco Systems last year as the leading supplier of WLAN equipment.	3.5
1606	1606	main-captions	images	2015	337	none	none	A white dog runs through a field of yellow flowers.	A dog with a red collar runs in a forest in the middle of winter.	1.6
4263	4306	main-news	headlines	2013	697	none	none	Taiwan rattled by strong earthquake	China rocked by twin earthquakes	1.2
1477	1477	main-captions	images	2014	716	none	none	sheep standing in afield.	A large dog stands next to a sheep in a field.	2.8
1749	1749	main-captions	images	2015	761	none	none	Two brown dogs are biting each other.	Two brown dogs biting each other on sand.	4.2
946	946	main-captions	MSRvid	2012train	665	none	none	An animal is walking.	A woman is applying eye makeup.	0.0
2366	2369	main-forum	deft-forum	2014	369	none	none	It is all Bush's fault.	Obama is Bush's fault.	1.2
1516	1516	main-captions	images	2015	63	none	none	A boy with a broken arm is resting in a bed.	A boy with a broken arm is sleeping.	4.0
3768	3811	main-news	headlines	2013	76	none	none	Syria journalists rescue bid fails	Journalists smuggled out of Homs	0.6
4593	4636	main-news	headlines	2014	356	none	none	Destruction of Syria's chemical weapons begins	Destruction of Syria's Chemical Weapons Could Prove Difficult	2.8
4700	4743	main-news	headlines	2014	493	none	none	Car bomb kills 20 in northwest Syria	Car bomb in northern Syria kills 20	4.6
1547	1547	main-captions	images	2015	184	none	none	A tan dog jumps up to catch a tennis ball.	A red dog jumps an catches a tennis ball in its mouth.	3.0
3756	3799	main-news	headlines	2013	62	none	none	China news agency: Still hope for Syria peace	China state news agency: There's still hope for Syria peace	4.2
982	982	main-captions	MSRvid	2012train	719	none	none	A baby is talking.	A boy is trying to say firetruck.	1.2
2471	2474	main-news	MSRpar	2012test	42	none	none	They found molecules that can only be produced when ozone breaks down cholesterol.	And all of the samples contained molecules that can only be produced when cholesterol interacts with ozone.	4.25
2088	2091	main-forum	deft-forum	2014	91	none	none	Do you see Obama calling for regulation reform?	Do you see Obama calling for Cut, Cap and Balance?	1.8
4316	4359	main-news	headlines	2014	15	none	none	Gunmen abduct seven foreign workers in Nigeria	Seven foreign workers kidnapped in Nigeria	3.4
3080	3106	main-news	MSRpar	2012train	238	none	none	The film is the second of a trilogy, which will wrap up in November with The Matrix Revolutions.	"Reloaded is the second installment of a trilogy; ""The Matrix Revolutions"" is slated for debut in November."	3.833
2817	2841	main-news	MSRpar	2012test	590	none	none	To reach John A. Dvorak, who covers Kansas, call (816) 234-7743 or send e-mail to jdvorak@kctar.com.	To reach Brad Cooper, Johnson County municipal reporter, call (816) 234-7724 or send e-mail to bcooper@kcstar.com.	1.0
2741	2765	main-news	MSRpar	2012test	475	none	none	South Africa has the world's highest caseload with 4.7 million people infected with HIV or AIDS.	With 4.7 million people infected with HIV or AIDS, South Africa has the world's highest AIDS caseload.	5.0
4353	4396	main-news	headlines	2014	61	none	none	Hundreds of Bangladesh clothes factory workers ill	Hundreds fall sick in Bangladesh factory	4.4
1423	1423	main-captions	images	2014	629	none	none	Eight bottles of Harp lager lined up on the floor.	Eight bottles of Harp beer lined up on a wooden floor.	4.0
913	913	main-captions	MSRvid	2012train	618	none	none	A person is stirring rice.	A woman is cracking an egg.	1.0
2166	2169	main-forum	deft-forum	2014	169	none	none	% How much money does PP take in for abortion services?	How much is spent on abortions services?	2.6
359	359	main-captions	MSRvid	2012test	534	none	none	A man is fishing in the river.	A man is singing while walking down the sidewalk.	0.8
3033	3057	main-news	MSRpar	2012train	150	none	none	Meningitis is an infection of the spinal cord fluid and the tissue around the brain.	Meningitis is an infection of the fluid in a person's spinal cord and around the brain.	4.6
