	index	genre	filename	year	old_index	source1	source2	sentence1	sentence2	score
2012	2015	main-forum	deft-forum	2014	15	none	none	The whole earth combined produces enough food for  billion people.	Who does it now only produce enough for  billion?	2.2
1207	1207	main-captions	images	2014	310	none	none	a jockey riding a horse.	A jockey riding a horse in a pen.	3.8
5619	5662	main-news	headlines	2016	900	Europe Media Monitor (http://emm.newsbrief.eu)	Europe Media Monitor (http://emm.newsbrief.eu)	US Attorney General Holder resigns	Attorney General Eric Holder to Resign	5.0
4788	4831	main-news	headlines	2014	601	none	none	Women to face higher car insurance premiums	Women drivers to face insurance premium rise	5.0
746	746	main-captions	MSRvid	2012train	359	none	none	A man is putting two paper towels on a paper plate.	A man is putting papers on a dish.	2.2
1199	1199	main-captions	images	2014	295	none	none	A woman posing in front of an apartment building in the snow.	White bus parked in grass in front of building.	0.0
863	863	main-captions	MSRvid	2012train	542	none	none	A man rides a horse.	A woman rubs a baby's leg.	0.0
4528	4571	main-news	headlines	2014	278	none	none	Heavy rain raises threat of Christmas Day flooding	Fresh rain brings more flooding	3.0
2794	2818	main-news	MSRpar	2012test	559	none	none	We think they have the right to choose.	We think PeopleSoft customers deserve the right to choose, Ellison said.	3.0
1681	1681	main-captions	images	2015	541	none	none	A black and white dog runs with its mouth open.	A black and white dog swims in blue water.	2.2
