	index	genre	filename	year	old_index	source1	source2	sentence1	sentence2	score
2135	2138	main-forum	deft-forum	2014	138	none	none	I guess I pulled it out of the census's rear end in a top hat.	Does the census have an rear end in a top hat?	2.6
4312	4355	main-news	headlines	2014	11	none	none	Syria military police chief defects to opposition	Syria military police chief defects to rebels	5.0
4262	4305	main-news	headlines	2013	695	none	none	Civilian, defector killed in Syria, says NGO	Syria gunmen kill three Syrian officers: NGO	1.0
4897	4940	main-news	headlines	2014	732	none	none	Tens of Thousands of Ukrainians Protest in Kyiv	Tens of thousands line up to cast votes in Bhutan	0.6
238	238	main-captions	MSRvid	2012test	352	none	none	A woman is dancing by a fire.	A woman is taking a bath.	1.4
3156	3182	main-news	MSRpar	2012train	360	none	none	Bond bulls would like the Fed to recognize that risks are biased toward economic weakness.	The Fed also said the risks to the economy were biased toward weakness.	2.588
5319	5362	main-news	headlines	2015	1011	none	none	Japan starts hearing on sales tax, ex-bank deputy urges gradual rise	Japan starts hearings on proposed tax hike	3.6
54	54	main-captions	MSRvid	2012test	80	none	none	A woman is slicing an onion.	A man is cutting and onion.	3.2
627	627	main-captions	MSRvid	2012train	196	none	none	A man is playing a piano.	A woman is peeling a potato.	0.0
4384	4427	main-news	headlines	2014	102	none	none	Two Santa trackers competing this Christmas	Spain turning back the clock on siestas	0.0
194	194	main-captions	MSRvid	2012test	287	none	none	A cat is playing keyboards.	A cat is playing a piano.	3.0
2003	2006	main-forum	deft-forum	2014	6	none	none	I am OK with MEDICAL use!	I AM OK WITH MEDICAL USE!!	5.0
4589	4632	main-news	headlines	2014	352	none	none	Pakistani Taliban chief Hakimullah Mehsud killed in drone strike	Pakistan Taliban vows revenge, to repay Hakimullah's killing in bloodshed	2.6
5477	5520	main-news	headlines	2015	1427	none	none	Venezuela expels three U.S. diplomats	Venezuela Expels 3 U.S. Diplomats	5.0
515	515	main-captions	MSRvid	2012train	39	none	none	A man plays the guitar.	A man is playing the guitar.	5.0
1790	1790	main-captions	images	2015	872	none	none	A person holding a net is standing in the water.	A black woman and two black children are sitting in a thatched tent.	0.6
5387	5430	main-news	headlines	2015	1186	none	none	Iran Nuclear Talks Enter Third Day	Iran nuclear talks enter crucial third day	5.0
3723	3766	main-news	headlines	2013	18	none	none	Putin 'Wins Russian Presidential Election'	Polls open in Russian presidential election	1.0
2264	2267	main-forum	deft-forum	2014	267	none	none	wait until they become more consistent and closer together.	wait for the contractions to get stronger and closer together.	3.8
4478	4521	main-news	headlines	2014	211	none	none	Macau Gambling Revenue Hits Record $38 bn in 2012	Macau gambling revenue hits record US$38b in 2012	5.0
121	121	main-captions	MSRvid	2012test	179	none	none	A man is playing a piano.	A man is playing a flute.	2.0
176	176	main-captions	MSRvid	2012test	260	none	none	Three women are dancing.	The man is dancing.	1.6
1245	1245	main-captions	images	2014	362	none	none	A group of sheep grazing on a hill.	A group of sheep are on a hill.	4.0
5266	5309	main-news	headlines	2015	889	none	none	Washington Pot Shops Prepare for Historic Sales	Washington pot shops prepare for historic sales	5.0
