	index	genre	filename	year	old_index	source1	source2	sentence1	sentence2	score
1098	1098	main-captions	images	2014	137	none	none	Two sheep on to of a cliff looking at the camera.	Two sheep are standing, looking at the camera, face opposite directions.	2.0
3451	3494	main-news	deft-news	2014	44	none	none	helmand province is the world's largest opium-producing region.	helmand province is the world's largest producer of opium.	5.0
5459	5502	main-news	headlines	2015	1384	none	none	US military presence in East Asia	NATO ups military presence amid Russian threat	1.2
2579	2588	main-news	MSRpar	2012test	229	none	none	The judge also refused to postpone the trial date of Sept. 29.	Obus also denied a defense motion to postpone the Sept. 29 trial date.	3.929
4326	4369	main-news	headlines	2014	25	none	none	Suicide bomber kills 3 at US base in Afghanistan	Suicide bombers attack US base in Afghanistan	2.8
1792	1792	main-captions	images	2015	877	none	none	a man walks two dogs on leashes down the street	A man walks two dogs in the city.	4.2
3344	3372	main-news	MSRpar	2012train	642	none	none	The tech-loaded Nasdaq composite rose 20.96 points to 1595.91 to end at its highest level for 12 months.	The technology-laced Nasdaq Composite Index <.IXIC> climbed 19.11 points, or 1.2 percent, to 1,615.02.	2.2
1924	1924	main-captions	images	2015	1290	none	none	Two children in a field of red flowers.	Two kids are playing in a field of red flowers.	4.8
715	715	main-captions	MSRvid	2012train	315	none	none	A man is diving into a swimming pool.	A man is singing into a microphone.	0.667
1192	1192	main-captions	images	2014	285	none	none	The black and white cows pause in front of the gate.	The white airplane is flying in the sky.	0.0
