	index	genre	filename	year	old_index	source1	source2	sentence1	sentence2	score
5271	5314	main-news	headlines	2015	900	none	none	Quotes from leaders, family at Mandela memorial	World unites for Mandela memorial	2.4
2079	2082	main-forum	deft-forum	2014	82	none	none	What's my opinion regarding the series?	What was my opinion of Firefly in the interim?	2.8
2490	2493	main-news	MSRpar	2012test	74	none	none	Sovereign's shares lost 74 cents, or 4.5%, to $15.68.	Sovereign shares closed on the New York Stock Exchange at $15.68, down 74 cents, or 4.5 percent.	4.0
2939	2963	main-news	MSRpar	2012train	15	none	none	Swartz, indicted in February, had argued that New Hampshire was the wrong place to charge him.	Swartz had sought to have the charges dismissed, saying New Hampshire was the wrong place to charge him.	3.4
4010	4053	main-news	headlines	2013	376	none	none	Jaya Prada all set to join BJP	Jaya Prada likely to join BJP, Amar Singh to decide for her	3.8
2390	2393	main-forum	deft-forum	2014	393	none	none	Capital gains, top rate:  percent.	- Income, top rate:  percent.	2.8
5027	5070	main-news	headlines	2015	288	none	none	Australia cuts rates to record low	Australia cuts interest rate to record low 2.75%	3.8
3710	3753	main-news	headlines	2013	3	none	none	NATO Soldier Killed In Afghan Attack	NATO soldier killed in S. Afghanistan	3.8
4863	4906	main-news	headlines	2014	694	none	none	Typhoon survivors raid Philippine stores	Typhoon Bopha kills 15 in S. Philippines	1.2
1195	1195	main-captions	images	2014	290	none	none	A man and woman stand, smiling for camera.	A man and woman are posing for the camera.	4.2
5189	5232	main-news	headlines	2015	700	none	none	Manchester City wins second Premier League title in three years	Manchester City win English Premier League title	3.8
3461	3504	main-news	deft-news	2014	54	none	none	a spokesman for stockwell day was not immediately available for	chinese authorities were not immediately available for comment.	1.2
3265	3292	main-news	MSRpar	2012train	526	none	none	We've become like total strangers, Klein quotes him as saying.	We've become like total strangers, John told a pal two days before his death.	3.25
568	568	main-captions	MSRvid	2012train	109	none	none	A man is exercising.	A girl is exercising.	3.0
3617	3660	main-news	deft-news	2014	210	none	none	government initiatives to disarm have been ineffective.	governance institutions have been ineffective for a long time in somalia.	1.0
4958	5001	main-news	headlines	2015	115	none	none	Iran predicts failure of Israeli-Palestinian peace talks	Tentative Deal Reached to Resume Israeli-Palestinian Talks - US	1.4
859	859	main-captions	MSRvid	2012train	536	none	none	A man is chopping coriander leaf.	A man is playing a guitar.	0.8
4425	4468	main-news	headlines	2014	150	none	none	Chinese shares close lower Wednesday	Chinese shares close higher Friday	2.2
3687	3730	main-news	deft-news	2014	280	none	none	the cfe is 1 of several issues negatively impacting russia's relations with the united states and europe.	the treaty is one of several issues causing tense relations between the governments of russia and the u.s. and europe.	4.0
1301	1301	main-captions	images	2014	441	none	none	A person is jumping a bicycle and performing a trick.	A person riding a dirt bike in the outdoors.	2.25
3522	3565	main-news	deft-news	2014	115	none	none	britain has struck an agreement to supply saudi arabia with typhoon jets in a deal worth an estimated 8 billion pounds (about 13.9 billion us dollars).	the uk agreed to supply saudi arabia with typhoon jets in a deal worth an estimated 8 billion pounds (approximately 13.9 billion us dollars) to the uk defense company bae systems.	3.2
3800	3843	main-news	headlines	2013	117	none	none	Man killed in French terror raid	Man dies in French 'anti-terror operation'	4.8
3977	4020	main-news	headlines	2013	338	none	none	Syria demands guarantees, rebels say peace plan doomed	Syria demands written guarantee for troop pullback	3.2
4858	4901	main-news	headlines	2014	686	none	none	Egyptians vote on Islamist-backed constitution	'Judge at polls directs voters on Egypt constitution vote'	1.4
2231	2234	main-forum	deft-forum	2014	234	none	none	If you want to buy $ billion in XYZ Inc. common stock, who cares?	If you want to buy a house or a SUV, again, who cares?	1.4
580	580	main-captions	MSRvid	2012train	127	none	none	A man is carrying another man over his shoulder.	A man is carrying someone on his shoulder.	3.25
2212	2215	main-forum	deft-forum	2014	215	none	none	Toyland by Johnny Mathis We are all vessels filled with many wonders.	Eye of the Tiger We are all vessels filled with many wonders.	3.2
5625	5668	main-news	headlines	2016	946	Europe Media Monitor (http://emm.newsbrief.eu)	Europe Media Monitor (http://emm.newsbrief.eu)	Tokyo shares open higher over buoyant U.S. market	Tokyo shares open higher tracing U.S. gains	4.0
4644	4687	main-news	headlines	2014	417	none	none	US Senate to meet as path out of fiscal impasse still elusive	US Senate has Rare Sunday Session Days Amid Fiscal Impasse	3.6
1637	1637	main-captions	images	2015	428	none	none	A dog bounds across the brown grass.	Two dogs bound across the grass.	2.6
4979	5022	main-news	headlines	2015	168	none	none	Moscow's Crimea success could lead to it redrawing Ukraine's eastern border	Merkel: Russian actions could lead to a catastrophe	2.6
288	288	main-captions	MSRvid	2012test	430	none	none	The elephants sprayed water on themselves.	Elephants spray themselves with water.	3.6
4601	4644	main-news	headlines	2014	364	none	none	Australia to scrap soaring national debt ceiling	Australian PM insists no argument with Indonesia	0.0
969	969	main-captions	MSRvid	2012train	701	none	none	The man took off his sunglasses while talking.	A man wearing a hard hat removes his glasses as he speaks.	3.4
3377	3405	main-news	MSRpar	2012train	687	none	none	"It seemed like an isolated incident,"" said Ariel Dean of Washington D.C., who earned a degree in political science."	It seemed like an isolated incident,'' said graduate Ariel Dean of Washington, D.C.	3.75
4739	4782	main-news	headlines	2014	541	none	none	Select images from Bangladesh building collapse	At least 200 killed in Bangladesh building collapse	1.4
906	906	main-captions	MSRvid	2012train	607	none	none	A man is carrying another man on his back.	A man is taking pictures of ant.	0.4
