	index	genre	filename	year	old_index	source1	source2	sentence1	sentence2	score
3309	3337	main-news	MSRpar	2012train	593	none	none	He is suspected of being a key figure in Jemaah Islamiyah, the al-Qa'eda-linked terror group which has been blamed for the bombings.	Samudra, 32, is suspected of being a key figure in the al-Qaida-linked terror group Jemaah Islamiyah, which has been blamed for carrying out the bombings.	3.4
2284	2287	main-forum	deft-forum	2014	287	none	none	There is no war in the Middle east.	"There is no ""WAR"" in the middle east."	4.6
955	955	main-captions	MSRvid	2012train	680	none	none	A man is scaling a fish.	A man pours some cooking oil into a pot.	1.0
2451	2454	main-news	MSRpar	2012test	8	none	none	In afternoon trading in Europe, France's CAC-40 advanced and Britain's FTSE 100 each gained 0.7 percent, while Germany's DAX index rose 0.6 percent.	In Europe, France's CAC-40 rose 1.3 percent, Britain's FTSE 100 declined 0.2 percent and Germany's DAX index gained 0.6 percent.	2.0
1889	1889	main-captions	images	2015	1191	none	none	Two dogs running through tall grass.	Two dogs are running through a grassy area.	4.6
3280	3308	main-news	MSRpar	2012train	554	none	none	The jury also found Gonzales guilty of using excessive force by dousing Olvera-Carrera with pepper spray.	Gonzales was found guilty of using excessive force by spraying Olvera with pepper spray.	4.25
4229	4272	main-news	headlines	2013	650	none	none	Arrested Russian killer denies ties to Pussy Riot	Dozens arrested in Russian TV tower protest	0.8
3324	3352	main-news	MSRpar	2012train	619	none	none	It will also give Microsoft an opportunity to comment on remedies proposed by the Commission.	Among other things, Microsoft is to comment on proposed remedies in its response.	4.2
4618	4661	main-news	headlines	2014	383	none	none	Dozens injured as Boeing 777 jet crash lands at San Francisco airport	Asiana Air Boeing 777 crash lands at San Francisco airport	3.8
1668	1668	main-captions	images	2015	509	none	none	A man holds on to a handle in the water.	A man is holding onto handles in the air.	3.2
1084	1084	main-captions	images	2014	116	none	none	A man sitting on the grass looking toward the sky.	The train is riding on the tracks in the snow.	0.0
545	545	main-captions	MSRvid	2012train	80	none	none	A woman is dancing.	The man is dancing.	2.6
2717	2732	main-news	MSRpar	2012test	432	none	none	Britz earned $3.77 million in salary, bonus and other compensation, and Kinney earned $3.76 million.	Johnston made $5.8 million in salary and bonus in 2001 as president, and as a part-time adviser earned $1 million in 2002.	1.4
3468	3511	main-news	deft-news	2014	61	none	none	kadhafi warns that us and britain's failure to compensate libya for nuclear disarmament will deter iran and north korea from disarming.	western countries' failure to sufficiently compensate libya will deter iran and north korea from disarming.	3.4
1227	1227	main-captions	images	2014	334	none	none	Two women in the kitchen looking at a object.	Two women in kitchen with one taking a picture.	2.8
3827	3870	main-news	headlines	2013	151	none	none	US soldier kills up to 16 civilians in Afghanistan	US soldier kills up to 16 Afghan civilians in shooting spree	4.2
5524	5567	main-news	headlines	2016	134	Europe Media Monitor (http://emm.newsbrief.eu)	Europe Media Monitor (http://emm.newsbrief.eu)	Hosni Mubarak retrial adjourned until 8 June	Mubarak retrial adjourned to June	4.0
4997	5040	main-news	headlines	2015	216	none	none	Iron Lady Margaret Thatcher dies at 87	Former British PM Margaret Thatcher dies at 87	4.6
1731	1731	main-captions	images	2015	701	none	none	The dog is running with food in his mouth.	The dog is running with a yellow ball in his mouth.	2.2
2820	2844	main-news	MSRpar	2012test	594	none	none	The national denomination of the Episcopal Church, with 2.3 million members, is the U.S. branch of the 77 million-member Anglican Communion.	The Episcopal Church, with 2.3 million members, is the American branch of the worldwide Anglican Communion, which has 77 million adherents.	5.0
508	508	main-captions	MSRvid	2012train	31	none	none	A girl is singing on stage.	A man is singing on stage.	2.8
1527	1527	main-captions	images	2015	110	none	none	A small white and brown dog is jumping over a horizontal pole.	a brown and white dog jumping over a red and yellow pole	3.0
4250	4293	main-news	headlines	2013	677	none	none	US drone strike kills 5 militants in Pakistan	Drone strike kills four suspected militants in Pakistan	3.0
3560	3603	main-news	deft-news	2014	153	none	none	it is a serious threat to international security.	it presents a major threat to global security.	4.2
1635	1635	main-captions	images	2015	413	none	none	A woman in a black dress smiles in front of a silver truck.	A girl wearing a black top is smiling with a silver truck in the background.	3.6
312	312	main-captions	MSRvid	2012test	469	none	none	A man is smelling two pizzas.	A woman is feeding a man.	0.2
5001	5044	main-news	headlines	2015	221	none	none	Police fire tear gas at protesters in Bangkok	Police fire tear gas at protesters	3.0
2751	2775	main-news	MSRpar	2012test	491	none	none	Board Chancellor Robert Bennett declined to comment on personnel matters Tuesday, as did Mills.	Mr. Mills declined to comment yesterday, saying that he never discussed personnel matters.	3.0
5175	5218	main-news	headlines	2015	663	none	none	Powerful 7.6 quake strikes off Solomons	Powerful 6.9 quake strikes off California coast	2.2
