	index	genre	filename	year	old_index	source1	source2	sentence1	sentence2	score
5085	5128	main-news	headlines	2015	441	none	none	17 killed in US drone attack on Yemen wedding party	U.S. drone mistakenly kills 14 in Yemen wedding convoy	4.0
186	186	main-captions	MSRvid	2012test	274	none	none	An orangutan is riding a bus.	A monkey is riding on a bus.	3.6
4352	4395	main-news	headlines	2014	60	none	none	Russia condemns North Korean nuclear test	South Korea confirms that North Korea has conducted controversial third nuclear test	1.2
3597	3640	main-news	deft-news	2014	190	none	none	china has so far balked against united states pressure on china to stop and search north korean ships.	china has stated that the united states pressure on china to stop and search north korean ships could trigger military clashes.	4.0
1852	1852	main-captions	images	2015	1087	none	none	A shirtless man playing football on a lawn.	A shirtless man catches a football	4.4
4587	4630	main-news	headlines	2014	349	none	none	Pistorius officer dropped from case	Pistorius officer on attempted murder charges	2.2
2299	2302	main-forum	deft-forum	2014	302	none	none	Holly Holy We are all vessels filled with many wonders.	Say What You Will We are all vessels filled with many wonders.	3.8
2920	2944	main-news	MSRpar	2012test	733	none	none	MessageLabs, which runs outsourced e-mail servers for 700,000 customers around the world, said it had filtered out 27,000 infected e-mails in 115 countries as of Thursday morning.	"Messagelabs, which runs outsourced e-mail servers for 700,000 customers around the world, has labeled the worm ""high risk"" and reports more than 31,000 infections in 120 countries."	2.75
1883	1883	main-captions	images	2015	1175	none	none	A black dog is chasing after a red Frisbee.	A black poodle is running in the snow.	1.4
5062	5105	main-news	headlines	2015	389	none	none	BlackBerry loses US$965m in Q2	BlackBerry loses $965M in 2nd quarter	5.0
2416	2419	main-forum	deft-forum	2014	419	none	none	Thanks Candy for starting the thread.	Candy - Thanks for starting us off today.	4.8
1135	1135	main-captions	images	2014	197	none	none	A pot of liquid is at the center of a tinfoil covered plate.	A pot of food is placed in the center of a red tablecloth.	1.4
3076	3102	main-news	MSRpar	2012train	230	none	none	She asked to be excused from last week's Cabinet session to prepare for a meeting with the presidents of Rwanda and Uganda.	She took the highly unusual step of skipping cabinet to attend a meeting with the presidents of Rwanda and Uganda.	3.455
1458	1458	main-captions	images	2014	687	none	none	A small red car on top of a semi truck.	Red sports car on top of white semi truck.	4.0
4220	4263	main-news	headlines	2013	638	none	none	Chinese stocks close higher midday Friday	Chinese stocks higher at midday Friday	4.6
1118	1118	main-captions	images	2014	163	none	none	A large jet on the ground at the airport.	A passenger jet flies through the air.	1.8
5277	5320	main-news	headlines	2015	913	none	none	Obama nominates new transportation secretary	Obama To Meet Embattled Veterans Secretary	0.2
4755	4798	main-news	headlines	2014	560	none	none	Kerry: $4b Palestinian Economic Plan Could Work	Kerry: No deal yet in nuclear talks with Iran	0.0
2298	2301	main-forum	deft-forum	2014	301	none	none	How long after the obliteration should the kid return to school?	How long after the obliteration should it no longer bother the kid?	3.0
1543	1543	main-captions	images	2015	161	none	none	A dog swimming with a stick in it's mouth.	A dog running with a stick in it's mouth.	2.6
5481	5524	main-news	headlines	2015	1437	none	none	Sevens World Cup within Kenya’s reach	Clash of Styles in Court Opens Trial in Young Man’s Death	0.0
2791	2815	main-news	MSRpar	2012test	555	none	none	Doctors have speculated that the body's own estrogen protects against cell damage and improves blood flow.	Their belief was based on speculation that estrogen prevents cell damage and improves blood flow.	4.25
3434	3477	main-news	deft-news	2014	27	none	none	alto huallaga is located northeast of the capital lima.	puerto cabezas is located 557 km northeast of managua, nicaragua.	0.0
3836	3879	main-news	headlines	2013	162	none	none	Gusmao consolidates power in East Timor elections	Gusmao powers on in East Timor	3.6
2017	2020	main-forum	deft-forum	2014	20	none	none	My parents have told me it is bad for you.	My teachers have told me it is bad for you.	2.8
3070	3096	main-news	MSRpar	2012train	217	none	none	There is no doubt about the chemical programme, biological programme, indeed nuclear programme, indeed all that was documented by the UN, he said.	"He added: ""There is no doubt about the chemical programme, the biological programme and indeed the nuclear weapons programme."	3.8
223	223	main-captions	MSRvid	2012test	328	none	none	A woman is slicing a pumpkin.	A woman is riding an elephant.	0.4
2646	2655	main-news	MSRpar	2012test	324	none	none	A judge ordered the child placed in state custody Aug. 8.	On Aug. 8, Juvenile Court Judge Robert Yeates ordered that Parker be placed in protective custody.	3.2
2965	2989	main-news	MSRpar	2012train	54	none	none	Lay had argued that handing over the documents would be a violation of his Fifth Amendment rights against self-incrimination.	Lay had refused to turn over the papers, asserting his Fifth Amendment right against self-incrimination.	3.8
1430	1430	main-captions	images	2014	638	none	none	Two people are sailing a small boat.	Two women in a sailboat.	3.8
4920	4963	main-news	headlines	2015	20	none	none	Police clash with youth in Cairo after anti-Morsi protest	Egypt: Police clash with pro-Morsi protesters	2.8
3849	3892	main-news	headlines	2013	178	none	none	Hollande defeats Sarkozy in French presidency vote	Polls open across France in presidential election	1.8
2862	2886	main-news	MSRpar	2012test	661	none	none	In midafternoon trading, the Nasdaq composite index was up 8.34, or 0.5 percent, to 1,790.47.	The Nasdaq Composite Index .IXIC dipped 8.59 points, or 0.48 percent, to 1,773.54.	1.6
366	366	main-captions	MSRvid	2012test	547	none	none	A woman is firing a rifle.	A man is performing stunts.	0.25
3112	3138	main-news	MSRpar	2012train	278	none	none	Fletcher said he expects to have the support of lawmakers from agricultural states, many of whom are on the committee.	He said he also expects to have the support of lawmakers from other agricultural states.	3.4
985	985	main-captions	MSRvid	2012train	724	none	none	A woman is slicing mango.	A man is putting cheese on a tortilla.	0.6
