	index	genre	filename	year	old_index	source1	source2	sentence1	sentence2	score
5434	5477	main-news	headlines	2015	1322	none	none	Gunmen kill nine tourists in Pakistan	Gunmen Attack Hotel In Remote Pakistani Province	3.2
2329	2332	main-forum	deft-forum	2014	332	none	none	And that is happening in GOP controlled states.	Michigan IS a GOP controlled state.	0.8
5403	5446	main-news	headlines	2015	1232	none	none	Boston bombing suspect to appear in court	Boston bombing suspect buried	1.2
5229	5272	main-news	headlines	2015	788	none	none	At least two killed in southern Egypt clash	At least 18 killed in North Caucasus train station blast	0.4
391	391	main-captions	MSRvid	2012test	593	none	none	A person is playing a guitar.	The man played his guitar.	3.0
1339	1339	main-captions	images	2014	497	none	none	Woman in blue shift dress cutting into food.	A woman in a blue dress cuts a cake.	3.8
3490	3533	main-news	deft-news	2014	83	none	none	existing rods could produce 3-6 atomic bombs in 6-8 months.	experts stated that the rods could produce 3-6 atomic bombs in 6-8 months.	4.2
2735	2759	main-news	MSRpar	2012test	469	none	none	The company has expanded into providing other services for buyers, including payment services.	The company has expanded those basic services, offering payment and even financing.	4.2
2554	2563	main-news	MSRpar	2012test	192	none	none	He was released on $3-million bail and immediately returned to Las Vegas, where he had been filming a video.	After posting $3 million bail, Jackson flew to Las Vegas, where he had been working on a video.	3.75
1988	1988	main-captions	images	2015	1475	none	none	Girl stands in subway waiting on something.	A girl stands in a dimly lit area.	2.0
