	index	genre	filename	year	old_index	source1	source2	sentence1	sentence2	score
4335	4378	main-news	headlines	2014	34	none	none	Man Who Set Himself on Fire on National Mall Dies of Injuries	Man 'who set himself ablaze' on National Mall dies	5.0
3547	3590	main-news	deft-news	2014	140	none	none	elbaradei stated that this is the last chance to build security in the middle east based on trust and cooperation and not on possession of nuclear weapons.	this is the last chance to build security in the middle east based on trust and cooperation rather than on the possession of nuclear arms.	4.0
848	848	main-captions	MSRvid	2012train	518	none	none	A woman is hitting a man.	A man is holding a slow loris.	0.0
265	265	main-captions	MSRvid	2012test	395	none	none	A dog is barking at a ball.	A dog swims after a tennis ball.	1.5
1652	1652	main-captions	images	2015	471	none	none	A black dog is walking on the grass with a stick in it's mouth.	A boy holds a net with a snake in it close to the ground.	0.0
3718	3761	main-news	headlines	2013	12	none	none	Obama backs Philippines over South China Sea	Obama says clear rules needed to calm South China Sea	2.4
4690	4733	main-news	headlines	2014	479	none	none	Driver in Spanish train crash faces questions from judge	Train driver in Spain crash questioned by judge	5.0
1943	1943	main-captions	images	2015	1336	none	none	A brown dog sits on the beach.	A dog running on the beach	2.0
3510	3553	main-news	deft-news	2014	103	none	none	paris is the capital of france.	lima is the capital of	0.6
1942	1942	main-captions	images	2015	1335	none	none	A person climbs up a snowy hill while their dog follows.	A person climbs a snowy hill while a black dog follows.	3.8
5544	5587	main-news	headlines	2016	268	Europe Media Monitor (http://emm.newsbrief.eu)	Europe Media Monitor (http://emm.newsbrief.eu)	Over 100 dead as typhoon slams central Philippines	At least 100 dead as typhoon batters Philippines	5.0
5563	5606	main-news	headlines	2016	437	Europe Media Monitor (http://emm.newsbrief.eu)	Europe Media Monitor (http://emm.newsbrief.eu)	Obama orders Syria 'gas attack' inquiry	UN urges Syria gas attack inspection	2.0
5488	5531	main-news	headlines	2015	1452	none	none	Israeli government authorises new settlements ahead of talks	Israel Approves New Settlement Homes Ahead of Peace Talks	4.8
4871	4914	main-news	headlines	2014	703	none	none	Iran earthquake death toll rises	Algeria hostage death toll rises	0.6
869	869	main-captions	MSRvid	2012train	549	none	none	A monkey is walking on a bed.	A man is riding a horse.	0.0
4378	4421	main-news	headlines	2014	94	none	none	Russia unveils $30 billion oil link to Pacific	Russia unveils $25bn oil link to Pacific	3.4
3835	3878	main-news	headlines	2013	160	none	none	Israel kills Hamas commander, bombs Gaza targets	Israel airstrikes kill Hamas commander, 5 others	3.4
1948	1948	main-captions	images	2015	1345	none	none	A dog in in a car.	A dog is biting a mop.	1.0
539	539	main-captions	MSRvid	2012train	70	none	none	Someone is boiling okra in a pot.	Someone is cooking okra in a pan.	4.4
2335	2338	main-forum	deft-forum	2014	338	none	none	What isn't how what was sold?	It's not how it was sold, gb.	1.6
828	828	main-captions	MSRvid	2012train	490	none	none	A man is placing meat in a bag.	A man is drivong a car.	0.5
4676	4719	main-news	headlines	2014	459	none	none	New World Trade Center declared tallest building in U.S.	One World Trade Center Named Tallest US Building	4.2
5042	5085	main-news	headlines	2015	319	none	none	The new Cold War	A new Cold War?	4.8
1366	1366	main-captions	images	2014	539	none	none	A tan puppy being petted.	A tan puppy being held and petted.	4.4
1265	1265	main-captions	images	2014	388	none	none	Sail boat sailing on the water.	Sailboat sailing on a cloudy day.	3.4
2317	2320	main-forum	deft-forum	2014	320	none	none	YOU FOOLS..bought the  cover-up..hook..	Hi Eots: YOU FOOLS..bought the  cover-up..hook..	4.2
3134	3160	main-news	MSRpar	2012train	317	none	none	I notice a mood change in their priorities, one politician said.	I notice a mood change in their priorities, said one Iraqi politician after meeting with Mr. Bremer.	3.333
4981	5024	main-news	headlines	2015	171	none	none	Belgian King Albert II to step down in favor of son	Belgium King Albert II 'to abdicate'	4.2
4820	4863	main-news	headlines	2014	638	none	none	Cyprus bailout remarks alarm markets	Why Cyprus bailout is nothing more than usual euro nonsense	2.6
5559	5602	main-news	headlines	2016	407	Europe Media Monitor (http://emm.newsbrief.eu)	Europe Media Monitor (http://emm.newsbrief.eu)	Mandela's condition has 'improved'	Mandela's condition has 'worsened over past 48 hours'	1.0
4873	4916	main-news	headlines	2014	705	none	none	Maldives team in India to observe an election	Testimony in trial of former FM Liberman begins	0.6
931	931	main-captions	MSRvid	2012train	641	none	none	The man sang on stage into the microphone.	A man in a suit is standing at a microphone and singing.	3.5
3512	3555	main-news	deft-news	2014	105	none	none	russia had threatened several times to withdraw from the cfe when it was at odds with the united states over u.s. plans to install a missile defense shield in eastern	russia has repeatedly threatened withdrawal from the cfe in opposition to plans for the extension of the us missile defense shield to eastern europe.	4.6
4953	4996	main-news	headlines	2015	103	none	none	Suspected U.S. drone strike kills 5 in Pakistan	U.S. drone strike kills 5 in Pakistan	3.8
1388	1388	main-captions	images	2014	576	none	none	A young girl wearing a bike helmet with a bicycle in the background.	A women holds a small dog on a leash with chairs in the background.	0.0
2923	2947	main-news	MSRpar	2012test	741	none	none	With all precincts reporting, Fletcher — a three-term congressman from Lexington — had an overwhelming 57 percent of the vote.	With all precincts reporting, Fletcher had 88,747 votes, or 57 percent of the total.	3.0
2138	2141	main-forum	deft-forum	2014	141	none	none	I've never accused him of over-milligraming, nothing.	I've never accused him of doctoring a baseball.	0.4
2088	2091	main-forum	deft-forum	2014	91	none	none	Do you see Obama calling for regulation reform?	Do you see Obama calling for Cut, Cap and Balance?	1.8
500	500	main-captions	MSRvid	2012train	17	none	none	A boy is playing a guitar.	A kid is playing a guitar.	3.6
5507	5550	main-news	headlines	2015	1498	none	none	Food price hikes raise concerns in Iran	American Chris Horner wins Tour of Spain	0.0
5058	5101	main-news	headlines	2015	381	none	none	Canada train plot suspects reject charges	Canadians released in Egypt, not yet heading home	1.0
3971	4014	main-news	headlines	2013	329	none	none	China trade returns to surplus in March	Tense calm returns to south Tel Aviv	0.0
3666	3709	main-news	deft-news	2014	259	none	none	china is a nuclear power and member of the u.n. security council.	china is a permanent member of the un security	3.0
1641	1641	main-captions	images	2015	444	none	none	A dog carries a leash in its mouth.	A fluffy dog carries a black leash in its mouth.	4.2
375	375	main-captions	MSRvid	2012test	564	none	none	The animal is eating.	A woman is dancing.	0.0
2612	2621	main-news	MSRpar	2012test	273	none	none	Ruffner, 45, doesn't yet have an attorney in the murder charge, authorities said.	Ruffner, 45, does not have a lawyer on the murder charge, authorities said.	5.0
1356	1356	main-captions	images	2014	525	none	none	The brown train is sitting on the railroad tracks.	The white train is sitting on the tracks.	2.25
749	749	main-captions	MSRvid	2012train	362	none	none	The man is singing and playing the guitar.	A man is playing a guitar.	3.0
3629	3672	main-news	deft-news	2014	222	none	none	sharia is islamic law.	iran is an islamic republic .	1.2
4305	4348	main-news	headlines	2014	2	none	none	Weak earnings drag stocks lower	Weak earnings drag stocks lower on Wall Street	3.8
4464	4507	main-news	headlines	2014	196	none	none	Intel's McAfee Buys Cloud-Based, Networked Firewall Specialist Stonesoft For $389M In Cash	McAfee to acquire firewall Stonesoft for $389 million	3.8
4831	4874	main-news	headlines	2014	651	none	none	Hostage drama drags on after Alabama school bus shooting	Nevada: 2 dead, 2 hurt in middle school shooting	0.8
5506	5549	main-news	headlines	2015	1496	none	none	South Korean President Sorry For Ferry Response	S. Korean president 'sorry' for ferry disaster	4.6
3735	3778	main-news	headlines	2013	36	none	none	Romney announces Paul Ryan as running mate	Romney names Ryan as running mate	5.0
1840	1840	main-captions	images	2015	1047	none	none	Two kids splashing in the water.	Two dogs play together on the bed.	0.0
1397	1397	main-captions	images	2014	590	none	none	Cars driving near a model building.	Vehicles driving infant of an ornate building.	2.4
84	84	main-captions	MSRvid	2012test	121	none	none	A woman is playing a guitar.	A man plays a guitar.	2.4
4381	4424	main-news	headlines	2014	97	none	none	7.2-magnitude quake hits Pakistan: CENC	7.7-magnitude earthquake hits SW Pakistan	3.8
2890	2914	main-news	MSRpar	2012test	693	none	none	"Mr. Bankhead said the crime scenes indicated that the killer was ""very methodical."""	GBI spokesman John Bankhead said the murder scenes showed that the killer was very methodical.	4.0
2887	2911	main-news	MSRpar	2012test	690	none	none	The broader Standard & Poor's 500 Index .SPX climbed 10 points, or 1.10 percent, to 943.	The Nasdaq Composite Index .IXIC jumped 43.64 points, or 2.89 percent, to 1,553.73.	1.0
914	914	main-captions	MSRvid	2012train	620	none	none	A man puts a knife in a vice.	A man is dancing.	0.25
5438	5481	main-news	headlines	2015	1334	none	none	Iran rejects claim on chlorine bombs	Iran rejects MKO claim on nuclear site	2.4
4602	4645	main-news	headlines	2014	365	none	none	Asian markets hit 3-wk high on hopes of US debt deal	Asian stocks hit three-week highs on hopes of U.S. debt deal	4.8
1153	1153	main-captions	images	2014	222	none	none	A bicycle is parked outside a bookstore.	People stand outside a bookstore.	0.8
165	165	main-captions	MSRvid	2012test	243	none	none	A group of people dance on a hill.	A group of people are dancing.	3.2
4301	4344	main-news	headlines	2013	744	none	none	Hurricane Sandy makes landfall in southeastern Jamaica: NHC	Hurricane Sandy reaches Jamaica	3.0
3458	3501	main-news	deft-news	2014	51	none	none	iran insists that the program is aimed solely at peaceful pursuits such as the generation of	iran insists that its nuclear program is for peaceful purposes	4.4
530	530	main-captions	MSRvid	2012train	57	none	none	A person is driving a car.	A man is driving a car.	3.5
862	862	main-captions	MSRvid	2012train	541	none	none	A rabbi is talking.	A man is walking on a rope.	0.0
3873	3916	main-news	headlines	2013	204	none	none	Blast kills 11 in northwestern Pakistan	Bomb Kills 19 In Northwest Pakistan	2.6
516	516	main-captions	MSRvid	2012train	40	none	none	A woman is peeling a potato.	A woman peels a potato.	5.0
3055	3079	main-news	MSRpar	2012train	185	none	none	People who once thought their blood pressure was fine actually may be well on their way to hypertension under new U.S. guidelines published on Wednesday.	People who once thought their blood pressure was fine actually need to start exercising and eating better, according to new U.S. guidelines published on Wednesday.	3.0
4928	4971	main-news	headlines	2015	40	none	none	Egyptian police fire tear gas at protesters in Cairo	Police fire tear gas at protesters in Cairo	4.0
3283	3311	main-news	MSRpar	2012train	557	none	none	Enron company executives engaged in widespread and pervasive fraud, prosecutor Samuel Buell told the Associated Press.	Enron company executives engaged in widespread and pervasive fraud to manipulate the company's earnings results, Buell said.	3.75
785	785	main-captions	MSRvid	2012train	425	none	none	A woman is swinging her arms.	A woman is slicing an onion.	0.8
1414	1414	main-captions	images	2014	615	none	none	Two men standing on beach.	Two women standing in front of tour bus.	0.0
224	224	main-captions	MSRvid	2012test	329	none	none	A woman is dancing.	A woman is kneading dough.	0.4
2091	2094	main-forum	deft-forum	2014	94	none	none	Iran is also a signed of the NPT and the IAEA.	"Gotta love the EK factoid that ""Iran is also a signed of the NPT and the IAEA."	4.2
2717	2732	main-news	MSRpar	2012test	432	none	none	Britz earned $3.77 million in salary, bonus and other compensation, and Kinney earned $3.76 million.	Johnston made $5.8 million in salary and bonus in 2001 as president, and as a part-time adviser earned $1 million in 2002.	1.4
5293	5336	main-news	headlines	2015	950	none	none	Indian stocks close lower	Hong Kong stocks close 2.33% higher	1.8
1136	1136	main-captions	images	2014	198	none	none	A black and white cow standing in a grassy field.	A blue jay standing in a grassy field.	0.6
1701	1701	main-captions	images	2015	597	none	none	A man and a woman looking at the camera.	A man and a woman laughing.	2.33
1337	1337	main-captions	images	2014	494	none	none	A women standing next to a brown cow.	A women in glasses stands next to a cow in a field.	3.8
1886	1886	main-captions	images	2015	1185	none	none	Two men sit on the sidewalk in front of stores.	A woman in a bathing suit walks a dog on the beach.	0.0
2481	2484	main-news	MSRpar	2012test	57	none	none	Coupling, an American version of a hit British comedy, will get the valuable Thursday 9:30 p.m. time slot.	Coupling, an American version of a hit British comedy, will couple with Friends on Thursdays.	3.0
3842	3885	main-news	headlines	2013	171	none	none	Gazans fire 2 rockets into Israel; no injuries	Gazans fire 89 rockets; cabinet approves reserve call-up	1.4
1417	1417	main-captions	images	2014	619	none	none	Red double decker bus driving through the streets.	Red double decker bus driving down a street.	4.6
2862	2886	main-news	MSRpar	2012test	661	none	none	In midafternoon trading, the Nasdaq composite index was up 8.34, or 0.5 percent, to 1,790.47.	The Nasdaq Composite Index .IXIC dipped 8.59 points, or 0.48 percent, to 1,773.54.	1.6
1441	1441	main-captions	images	2014	657	none	none	A black and white cat lying on a blanket.	A black and white cat laying on a cat bed.	3.75
1598	1598	main-captions	images	2015	314	none	none	two big brown dogs running through the snow.	A brown dog running through the grass.	2.0
5054	5097	main-news	headlines	2015	364	none	none	38 killed in rains, flash floods in Pakistan	Three killed in Brazil stadium collapse	0.4
1958	1958	main-captions	images	2015	1369	none	none	A lady is running her dog through an agility course.	Trainer runs her dog through training course with green pipe	4.2
3636	3679	main-news	deft-news	2014	229	none	none	the 5 permanent united nations security council members are britain, china, france, russia and the united states.	p5+1 members are britain, china, france, russia, germany and the united states.	3.6
3073	3099	main-news	MSRpar	2012train	226	none	none	On May 1, he crawled through a narrow, winding canyon, rappelled down a 60-foot cliff and walked some six miles down the canyon.	He crawled through a narrow, winding canyon, rappelled down a 60-foot cliff, and walked some six miles down the canyon near Canyonlands National Park in southeastern Utah.	3.75
4493	4536	main-news	headlines	2014	234	none	none	Car bomb kills one and wounds five in Benghazi	Car bomb hits Libyan Foreign Ministry in Benghazi	3.0
2707	2722	main-news	MSRpar	2012test	418	none	none	With the power back on, state workers headed back to their jobs Friday morning.	Pataki said if power was restored, state workers would be back on the job Friday morning.	2.6
3568	3611	main-news	deft-news	2014	161	none	none	if japan rises to the occasion japan will never be beaten even in terms of military power.	ozawa said that if japan rises to the occasion then japan will never be beaten even in terms of military power.	3.6
4597	4640	main-news	headlines	2014	360	none	none	Obama coming 'to listen' to Israel, Palestinians	Kerry Welcomes Arab Plan for Israeli-Palestinian Talks	0.8
5573	5616	main-news	headlines	2016	561	Europe Media Monitor (http://emm.newsbrief.eu)	Europe Media Monitor (http://emm.newsbrief.eu)	Rallies demand 'Justice for Trayvon'	Across US, people rally for 'Justice for Trayvon'	4.0
2902	2926	main-news	MSRpar	2012test	709	none	none	The show's closure affected third-quarter earnings per share by a penny.	The company said this impacted earnings by a penny a share.	3.25
3722	3765	main-news	headlines	2013	17	none	none	Greece bond exchange the largest debt restructuring in history	Greece secures biggest debt deal in history	2.8
3493	3536	main-news	deft-news	2014	86	none	none	jewish-american group the anti-defamation league (adl) published full-page advertisements in swiss and international papers in april 2008 accusing switzerland of funding terrorism through the deal.	the anti-defamation league took out full-page advertisments in swiss and international newspapers earlier in april 2008 accusing switzerland of funding terrorism through the deal.	4.4
2881	2905	main-news	MSRpar	2012test	683	none	none	The Dow Jones industrial average .DJI rose 41.61 points, or 0.44 percent, to 9,415.82.	The Dow Jones rose 41.61 points Friday, a gain of 0.4% for the day and 0.7% for the week.	4.0
1425	1425	main-captions	images	2014	633	none	none	A woman riding a brown horse.	Person dressed in blue riding brown horse.	2.6
3954	3997	main-news	headlines	2013	308	none	none	Clinton warns Kenya of cost of election violence	Clinton warns Kenya on repeat of 2007 vote chaos	2.8
