	index	genre	filename	year	old_index	source1	source2	sentence1	sentence2	score
45	45	main-captions	MSRvid	2012test	68	none	none	A man is playing the piano.	A woman is playing the violin.	1.0
992	992	main-captions	MSRvid	2012train	735	none	none	A female applies something to he hair with her hands.	A cat is eating a slice of watermelon.	0.0
3919	3962	main-news	headlines	2013	263	none	none	US astronaut Neil Armstrong dead at 82	US astronaut Neil Armstrong dies	3.6
3481	3524	main-news	deft-news	2014	74	none	none	china will resolutely oppose the proliferation of mass destructive weapons.	china will resolutely oppose the means of the delivery of mass destructive weapons.	4.2
849	849	main-captions	MSRvid	2012train	519	none	none	A woman is riding an elephant.	A man is lifting himself.	0.0
4805	4848	main-news	headlines	2014	620	none	none	Witnesses hear 'loud booms' at Boston Marathon	Report of two explosions at finish line of Boston Marathon	3.0
2072	2075	main-forum	deft-forum	2014	75	none	none	Should I just tell her how I feel?	Should I just wait it out and see how it goes?	2.2
3617	3660	main-news	deft-news	2014	210	none	none	government initiatives to disarm have been ineffective.	governance institutions have been ineffective for a long time in somalia.	1.0
2261	2264	main-forum	deft-forum	2014	264	none	none	Your schtick is getting stale.	Your misogyny is getting messy.	0.4
1209	1209	main-captions	images	2014	313	none	none	A train is running on the tracks.	A train is running down the track in a rural area.	4.0
2366	2369	main-forum	deft-forum	2014	369	none	none	It is all Bush's fault.	Obama is Bush's fault.	1.2
3422	3465	main-news	deft-news	2014	15	none	none	bombing occurred in afghanistan as attacks by anti-government insurgents increase in recent days.	a bombing occurred in afghanistan but police have not yet stated who is responsible.	2.6
2023	2026	main-forum	deft-forum	2014	26	none	none	People exploited the laws.	People bent the laws.	2.8
3600	3643	main-news	deft-news	2014	193	none	none	variants of the advanced light helicopter (alh) contain rocket launchers from belgium; rockets, guns and engines from france; brake systems from italy; fuel tanks and gearboxes from britain; self-protection equipment from a swedish company and have received crucial design development and engine control manufacturing from german companies.	the alh's arsenal includes-- rocket launchers from belgium rockets, guns and engines from france brake systems from italy fuel tanks and gearboxes from britain self-protection equipment from a swedish company.	3.6
4608	4651	main-news	headlines	2014	371	none	none	NATO: Patriot missile battery operational on Syrian border	Obama: Patriot missile batteries, troops to stay in Jordan near Syrian border	3.2
2541	2550	main-news	MSRpar	2012test	167	none	none	Jim Furyk celebrated his first Father's Day as a father by winning his first major golf championship.	His first Father's Day as a dad, his first major as a champion.	3.0
5006	5049	main-news	headlines	2015	232	none	none	Protesters topple Lenin statue in Kiev	Ukraine protesters topple Lenin statue in Kiev	4.4
2328	2331	main-forum	deft-forum	2014	331	none	none	Are you driving one?	Are you driving a fucking Volt?	2.6
1974	1974	main-captions	images	2015	1409	none	none	A young boy plays in a red ball pit.	A laughing boy lies on a pit of blue balls.	3.0
818	818	main-captions	MSRvid	2012train	479	none	none	A man is eating.	A woman is rock climbing.	0.0
3488	3531	main-news	deft-news	2014	81	none	none	zabol is a town in southeastern iran.	khoramabad is a city in western iran.	1.2
3915	3958	main-news	headlines	2013	257	none	none	Sheryl Crow says has benign brain tumor	Sheryl Crow Has a Benign Brain Tumor	4.6
2461	2464	main-news	MSRpar	2012test	27	none	none	The Standard Edition is $15,000 per processor or $300 per named user.	The Standard Edition One is a single processor version of the Oracle Standard Edition Database.	2.5
693	693	main-captions	MSRvid	2012train	287	none	none	A man is playing guitar.	A cat is playing.	0.4
