	index	genre	filename	year	old_index	source1	source2	sentence1	sentence2	score
1418	1418	main-captions	images	2014	620	none	none	A goose flapping its wings in a body of water.	A black swan flapping its wings on the water.	3.0
1092	1092	main-captions	images	2014	129	none	none	The men are playing a guitar and having a drink.	There is a young boy with a red and blue jacket on feeding a sheep.	0.0
441	441	main-captions	MSRvid	2012test	666	none	none	A woman is chopping a hard egg.	A person is cutting  boiled egg into pieces.	3.533
2404	2407	main-forum	deft-forum	2014	407	none	none	"The point you quote should say ""I never said rehabilitation could never work."""	For the trillionth time, I've never said rehabilitation doesn't work.	3.4
1057	1057	main-captions	images	2014	80	none	none	A woman holding a small baby.	A smiling woman holding a small baby.	4.0
4246	4289	main-news	headlines	2013	671	none	none	Europe shares bounce as more China stimulus seen	Oil prices rise on hopes for stimulus	0.8
1958	1958	main-captions	images	2015	1369	none	none	A lady is running her dog through an agility course.	Trainer runs her dog through training course with green pipe	4.2
5313	5356	main-news	headlines	2015	993	none	none	Official of Malaysia Airlines briefs relatives of missing flight passengers about search progress	Malaysia Airlines investigating co-pilot on missing flight	1.0
2130	2133	main-forum	deft-forum	2014	133	none	none	I know I'd hate to be him.	I'd hate to be him too.	4.4
134	134	main-captions	MSRvid	2012test	198	none	none	Two women are wrestling.	Two women are wrestling on the floor.	4.0
3297	3325	main-news	MSRpar	2012train	575	none	none	US military officials say rotor wash from the helicopter might have blown down the banner.	"US officials said downward ""rotor wash"" generated by the hovering helicopter stripped the flag from the tower."	3.4
3294	3322	main-news	MSRpar	2012train	572	none	none	After that, college President Paul Pribbenow told him to wrap up his speech.	After Hedges' microphone was unplugged for a second time, Pribbenow told him to wrap up his speech.	3.4
1908	1908	main-captions	images	2015	1228	none	none	Kids play soccer on a field.	Three boys playing soccer in a field	4.2
3538	3581	main-news	deft-news	2014	131	none	none	the ensuing battle and airstrikes killed at least 10 militants.	an ensuing battle killed at least 10 militants.	3.6
5243	5286	main-news	headlines	2015	826	none	none	China sends largest fleet yet to disputed islands	China ships enter waters off disputed islands	3.4
5323	5366	main-news	headlines	2015	1025	none	none	Syrian opposition offers Assad truce in Homs for duration of Ramadan	Syrian opposition offers Assad's forces truce for duration of Ramadan	4.6
5123	5166	main-news	headlines	2015	530	none	none	Nato condemns Ukraine crackdown	Thai bonds best in region	0.0
4584	4627	main-news	headlines	2014	346	none	none	Suicide bomber kills 9 at Pakistan political rally	Suicide bomber kills guard at US embassy in Turkey	1.6
5522	5565	main-news	headlines	2016	103	Europe Media Monitor (http://emm.newsbrief.eu)	Europe Media Monitor (http://emm.newsbrief.eu)	Two killed in Bahrain car explosion	Two killed in Bahrain car blast	5.0
697	697	main-captions	MSRvid	2012train	291	none	none	A man is climbing a rope.	A man is sitting on a rock.	0.25
3889	3932	main-news	headlines	2013	226	none	none	Strong quake jolts most parts of Pakistan	Strong quake hits eastern Indonesia	2.0
241	241	main-captions	MSRvid	2012test	359	none	none	Three boys are dancing.	Kids are dancing.	3.111
1233	1233	main-captions	images	2014	344	none	none	A red truck spins their tires while a black one leaves the frame.	Red truck spinning tires and emitting smoke from behind.	3.2
2982	3006	main-news	MSRpar	2012train	75	none	none	The bill says that a woman who undergoes such an abortion couldn't be prosecuted.	A woman who underwent such an abortion could not be prosecuted under the bill.	5.0
961	961	main-captions	MSRvid	2012train	691	none	none	A person breaks an egg into a small bowl.	A man cracks an egg.	2.6
2145	2148	main-forum	deft-forum	2014	148	none	none	Nixon, Ford and Carter shut down the oilfields?	No has has shut down the oil fields.	2.0
1811	1811	main-captions	images	2015	946	none	none	A woman standing in front of trees and smiling.	A man is walking by trees in front of the city skyline.	2.0
5226	5269	main-news	headlines	2015	782	none	none	Thousands rally to support embattled Tunisia government	Thousands gather to support Islamist government in Tunisia	4.6
3204	3230	main-news	MSRpar	2012train	435	none	none	Wells’ other series include NBC’s ER and Third Watch.	"Wells' other series include NBC's ""ER"" and ""Third Watch."""	5.0
2812	2836	main-news	MSRpar	2012test	584	none	none	Police said her two small children were alone in the apartment for up to two days.	Police said her two small children were alone there for up to two days as she lay dead.	3.25
994	994	main-captions	MSRvid	2012train	741	none	none	The man is playing the wooden flute.	A little boy is vacuuming the floor.	0.0
3716	3759	main-news	headlines	2013	9	none	none	Sachin Tendulkar says I'm not God, I'm Sachin	Sachin Tendulkar scores cricket's first 100th century	0.8
2570	2579	main-news	MSRpar	2012test	215	none	none	Shares of Coke were up 6 cents at $44.42 in afternoon trading Wednesday on the New York Stock Exchange.	Shares of Coke were down 26 cents to close at $44.10 on the New York Stock Exchange.	1.846
2793	2817	main-news	MSRpar	2012test	558	none	none	No Americans were reported among the casualties, according to Capt. Michael Calvert, a spokesman for the regiment.	None of the casualties was Americans, said Capt. Michael Calvert, regiment spokesman.	5.0
2465	2468	main-news	MSRpar	2012test	35	none	none	Ursel Reisen confirmed it operated the coach, but gave no details other than to say the passengers were of mixed ages.	Ursel Reisen confirmed it had been operating the coach, but declined to give details of the passengers other than to say they were of mixed ages.	4.8
3322	3350	main-news	MSRpar	2012train	615	none	none	Congratulations on being named Time magazine's Person of the Year.	Time magazine named the American soldier its Person of the Year for 2003.	2.4
3561	3604	main-news	deft-news	2014	154	none	none	nicaragua commemorated the 25th anniversary of the sandinista revolution.	nicaragua has not reconciled how to approach the anniversary of the sandinista revolution.	2.4
4174	4217	main-news	headlines	2013	584	none	none	Australia can eclipse England in Windies	Australian PM defiant under pressure over leadership	0.4
2187	2190	main-forum	deft-forum	2014	190	none	none	The one that has  walks home afterwards and goes to sleep.	The one that has three walks home and beats his wife.	1.4
4202	4245	main-news	headlines	2013	617	none	none	Germany Likely to Press Russia on Syrian Crisis	What is Russia thinking on Syria? A brief guide	1.0
92	92	main-captions	MSRvid	2012test	133	none	none	The man talked on the telephone.	The man is talking on the phone.	3.6
2216	2219	main-forum	deft-forum	2014	219	none	none	Yes, they are both different.	Opinions are different.	1.2
1601	1601	main-captions	images	2015	321	none	none	Two dogs share a toy in a field of vegetation.	Two snowboarders are in the air over the snow.	0.17
1394	1394	main-captions	images	2014	585	none	none	Two women stand in a living room with a black dog.	Two women standing in a living room with a black dog looking towards the camera.	4.0
