	index	genre	filename	year	old_index	source1	source2	sentence1	sentence2	score
2445	2448	main-forum	deft-forum	2014	448	none	none	Could this have been an enema?	@ossobuco, Could this have been an enema?	4.6
4266	4309	main-news	headlines	2013	701	none	none	Syrian forces shoot civilians on bus	Syrian forces, rebels clash near Turkey	0.8
3521	3564	main-news	deft-news	2014	114	none	none	estonian officials stated that some of the cyber attacks that caused estonian government websites to shut down temporarily came from computers in the administration of russia including in the office of president vladimir putin.	officials in estonia including prime minister andrus ansip have claimed that some of the cyber attacks came from russian government computers including computers in the office of russian president vladimir putin.	3.8
5586	5629	main-news	headlines	2016	668	Europe Media Monitor (http://emm.newsbrief.eu)	Europe Media Monitor (http://emm.newsbrief.eu)	Police surround protesters in Belfast ahead of G8	Peaceful anti-G8 protest held in Belfast	3.0
2971	2995	main-news	MSRpar	2012train	60	none	none	The University of Michigan released today a new admissions policy after the U.S. Supreme Court struck down in June the way it previously admitted undergraduates.	The University of Michigan plans to release a new undergraduate admissions policy Thursday after its acceptance requirements were rejected by the U.S. Supreme Court in June.	4.2
5665	5708	main-news	headlines	2016	1234	Europe Media Monitor (http://emm.newsbrief.eu)	Europe Media Monitor (http://emm.newsbrief.eu)	Nigeria admits slow response in Ebola case	US ramps up response to Ebola crisis	1.0
5031	5074	main-news	headlines	2015	295	none	none	Palestinian diplomat dies in Prague blast	Palestinian diplomat killed in explosion in Prague	5.0
1831	1831	main-captions	images	2015	1012	none	none	A black dog is walking on the grass with a stick in it's mouth.	The black dog is running on the grass with a toy in it's mouth.	3.2
5341	5384	main-news	headlines	2015	1068	none	none	Mel Smith dead at 60 and UK mourns a comedy favourite	Griff Rhys Jones: Mel Smith was 'a force for life'	2.4
3951	3994	main-news	headlines	2013	303	none	none	Chinese stocks close higher Thursday	Chinese stocks open mixed Wednesday	1.0
901	901	main-captions	MSRvid	2012train	601	none	none	A woman is chopping garlic.	A woman slices a fish.	1.0
1002	1002	main-captions	images	2014	3	none	none	A large boat in the water at the marina.	A large boat on the sea.	3.2
1775	1775	main-captions	images	2015	835	none	none	Two people wearing hats sit and look at the camera.	A man wearing a blue shirt makes a grouchy face.	0.0
2886	2910	main-news	MSRpar	2012test	688	none	none	On Saturday, a 149mph serve against Agassi equalled Rusedski's world record.	On Saturday, Roddick equalled the world record with a 149 m.p.h. serve in beating Andre Agassi.	3.5
5508	5551	main-news	headlines	2015	1499	none	none	Obama made last-minute decision on Syria approval	Obama mulls limited military action in Syria	2.0
294	294	main-captions	MSRvid	2012test	440	none	none	A girl is playing a violin.	A baby is laughing and giggling.	0.25
4038	4081	main-news	headlines	2013	410	none	none	JetBlue pilot who disrupted flight declared insane, not guilty	JetBlue pilot who caused disruption on flight not guilty	3.8
