	index	genre	filename	year	old_index	source1	source2	sentence1	sentence2	score
2473	2476	main-news	MSRpar	2012test	45	none	none	Earlier this month, RIM had said it expected to report second-quarter earnings of between 7 cents and 11 cents a share.	Excluding legal fees and other charges it expected a loss of between 1 and 4 cents a share.	1.2
4481	4524	main-news	headlines	2014	215	none	none	NM County Prepares for Same-Sex Marriages Hearing	Some county officials pave the way for same-sex marriage	3.8
3105	3131	main-news	MSRpar	2012train	270	none	none	Doctors had planned to deliver him two weeks early, on or around November 14.	A Caesarean had originally been planned in mid- November, two weeks early.	3.6
3003	3027	main-news	MSRpar	2012train	106	none	none	Google's investors include prominent VC firms Kleiner Perkins Caufield & Byers and Sequoia Capital, the paper noted.	Google's early stage backers in include California-based Stanford University and VC firms Kleiner Perkins and Sequoia Capital.	2.8
4042	4085	main-news	headlines	2013	414	none	none	Obama praises U.S.-Latin America trade ties	Obama Secret Service agents sent home	0.4
3547	3590	main-news	deft-news	2014	140	none	none	elbaradei stated that this is the last chance to build security in the middle east based on trust and cooperation and not on possession of nuclear weapons.	this is the last chance to build security in the middle east based on trust and cooperation rather than on the possession of nuclear arms.	4.0
4980	5023	main-news	headlines	2015	169	none	none	Nelson Mandela dies aged 95	Nelson Mandela Dies at Age 95	5.0
3450	3493	main-news	deft-news	2014	43	none	none	there is conflicting opinion as to the extent of damage suffered by the insurgency.	violence continues despite conflicting opinion on the extent of damage suffered by the rebel groups.	3.2
792	792	main-captions	MSRvid	2012train	435	none	none	Some children are jumping on Trampoline.	Two boy are playing on a trampoline.	3.0
3054	3078	main-news	MSRpar	2012train	184	none	none	The broad Standard & Poor's 500 Index .SPX inched up 3 points, or 0.32 percent, to 970.	The technology-laced Nasdaq Composite Index .IXIC lost 2 points, or 0.18 percent, to 1,649.	0.75
3447	3490	main-news	deft-news	2014	40	none	none	the international atomic energy agency reached an agreement with iranian officials that stated there were no remaining issues and ambiguities regarding iran's nuclear program and activities.	the accord said that there were no remaining issues and ambiguities regarding iran's nuclear program and activities.	3.4
1659	1659	main-captions	images	2015	488	none	none	A boy in black waves his arms while other people are behind him on a field.	a man in a black shirt is roller blading past a bench in the city.	0.4
4458	4501	main-news	headlines	2014	190	none	none	EU receives Nobel Peace Prize	EU Receives 2012 Nobel Peace Prize	3.6
3373	3401	main-news	MSRpar	2012train	683	none	none	The new servers will run either Linux or the x86 version of Solaris, he said.	The servers can run Solaris x86 operating system or the standard Linux operating system.	4.308
2183	2186	main-forum	deft-forum	2014	186	none	none	h and i both read the books and thought the movie moved so quickly.	I haven't read the books, but I saw the movie today.	3.0
1916	1916	main-captions	images	2015	1253	none	none	A young girl with a pink hat on with a yellow building in the background.	A young girl in a pink dress with something in her hand.	1.8
3525	3568	main-news	deft-news	2014	118	none	none	the agreement aimed to establish a wider cooperation covering national security and the fight against global terrorism.	in a statement the british ministry of defense stated-- the agreement aims to establish wider cooperation covering national security and the fight against global terrorism.	3.4
3874	3917	main-news	headlines	2013	205	none	none	5 aid workers freed in operation in Afghanistan	Suicide bomber kills 37 at mosque in Afghanistan	0.8
2689	2704	main-news	MSRpar	2012test	393	none	none	The trial, featuring 125 witnesses, could continue until the start of 2004.	The trial, which could last until early 2004, is expected to hear the first of 125 witnesses Friday.	4.5
1762	1762	main-captions	images	2015	799	none	none	A brown and white dog is walking next to a man on a skateboard.	A blond child is laying on a branch of a tree in a green field.	0.0
3329	3357	main-news	MSRpar	2012train	626	none	none	Customers include Mitsubishi, Siemens, DBTel, Dell, HP, Palm, Philips, Sharp, and Sony.	MediaQ's customers include major handheld makers Mitsubishi, Siemens, Palm, Sharp, Philips, Dell and Sony.	3.2
5263	5306	main-news	headlines	2015	880	none	none	Trial Date Set for Egypt's Muslim Brotherhood Chief	Syria's Muslim Brotherhood faces uphill battle	2.2
1914	1914	main-captions	images	2015	1249	none	none	Three sheep graze on the grassy field with a dog walking behind them.	a small group of goats in the grass with a black and white dog in the backgroud.	2.8
4542	4585	main-news	headlines	2014	294	none	none	6.0-magnitude quake hits Greece -- USGS	5.0-magnitude quake jolts Japan	1.0
1529	1529	main-captions	images	2015	123	none	none	A man is swinging on a rope above the water.	A man in warm clothes swinging on monkey bars at night.	1.6
5179	5222	main-news	headlines	2015	675	none	none	Argentina declares mourning for flood victims	Parents demands common forms for nursery admissions	0.0
4044	4087	main-news	headlines	2013	416	none	none	Obama and Romney focus on swing-states	Team Anna yet to decide on contesting state polls	0.4
2610	2619	main-news	MSRpar	2012test	271	none	none	The report ranked 45 large companies based on employment, marketing, procurement, community reinvestment and charitable donations.	Of those three, only Dillard's responded to the survey that ranked 45 large companies on employment, marketing, procurement, community reinvestment and charitable donations.	3.0
2352	2355	main-forum	deft-forum	2014	355	none	none	Haiti is a shithole.	Haiti has been a shithole.	4.2
2936	2960	main-news	MSRpar	2012train	12	none	none	The hearing occurred a day after the Pentagon for the first time singled out an officer, Dallager, for not addressing the scandal.	The hearing came one day after the Pentagon for the first time singled out an officer - Dallager - for failing to address the scandal.	5.0
3333	3361	main-news	MSRpar	2012train	630	none	none	Until now, sales of the entertainment-oriented PCs have been limited to the United States, Canada and Korea.	The computers are currently sold in Canada, the United States, and Korea.	3.75
