	index	genre	filename	year	old_index	source1	source2	sentence1	sentence2	score
3316	3344	main-news	MSRpar	2012train	603	none	none	The witness, a 27-year-old Kosovan parking attendant with criminal convictions for dishonesty, was paid 10,000 by the News of the World.	The witness was a 27-year-old Kosovan parking attendant, who was paid by the News of the World, the court heard.	3.625
2025	2028	main-forum	deft-forum	2014	28	none	none	"I have  years of ""Neener Neener"" rights I use lettuce too."	"I have  years of ""Neener Neener"" rights Hi Wiggies!"	2.6
3833	3876	main-news	headlines	2013	158	none	none	Mumbai is 2nd costliest Indian city to live in	Tech capital Bangalore costliest Indian city to live in: Survey	1.0
3494	3537	main-news	deft-news	2014	87	none	none	france provides the rockets, guns and engines.	britain provides fuel tanks and gearboxes.	1.8
1860	1860	main-captions	images	2015	1111	none	none	The black dog is walking through the tall grass.	The black dog is running through the grass.	3.8
5630	5673	main-news	headlines	2016	974	Europe Media Monitor (http://emm.newsbrief.eu)	Europe Media Monitor (http://emm.newsbrief.eu)	Tokyo shares open higher on buoyant U.S. market	Tokyo shares open higher following strong U.S. performance	4.0
4870	4913	main-news	headlines	2014	702	none	none	Russia Destroys Over 75% of Its Chemical Weapons Stockpile	Britain Sees Evidence Assad Could Use Chemical Weapons	1.0
2488	2491	main-news	MSRpar	2012test	69	none	none	The DVD-CCA then appealed to the state Supreme Court.	The DVD CCA appealed that decision to the U.S. Supreme Court.	4.5
481	481	main-captions	MSRvid	2012test	727	none	none	Two cartoon rabbits are kissing.	A rabbit is kissing another rabbit.	3.8
495	495	main-captions	MSRvid	2012train	3	none	none	A man and a woman are kissing each other.	A man and a woman are talking to each other.	0.6
4886	4929	main-news	headlines	2014	720	none	none	France Hails Breakthrough after U.S.-Russia Deal on Syria Weapons	France Welcomes US-Russia Deal on Syria	4.0
1014	1014	main-captions	images	2014	22	none	none	Close up of a bottle of water.	A close up view of a bottle of water.	4.4
918	918	main-captions	MSRvid	2012train	624	none	none	The men are fighting each other.	The man drew on the white paper.	0.4
3790	3833	main-news	headlines	2013	105	none	none	Australian unemployment up to 5.1 percent	French unemployment rate rises to 10 percent	1.0
2890	2914	main-news	MSRpar	2012test	693	none	none	"Mr. Bankhead said the crime scenes indicated that the killer was ""very methodical."""	GBI spokesman John Bankhead said the murder scenes showed that the killer was very methodical.	4.0
5513	5556	main-news	headlines	2016	52	Europe Media Monitor (http://emm.newsbrief.eu)	Europe Media Monitor (http://emm.newsbrief.eu)	US Senate confirms Janet Yellen as US Federal Reserve chief	Senate confirms Janet Yellen as next Federal Reserve Chair	5.0
123	123	main-captions	MSRvid	2012test	182	none	none	A man is spinning.	A man is dancing.	1.6
2815	2839	main-news	MSRpar	2012test	588	none	none	Three no votes would kill it for now.	It would take three votes to kill the ACC's expansion.	3.667
3238	3265	main-news	MSRpar	2012train	485	none	none	The meeting was scheduled to end Wednesday night, with attendees approving resolutions that express the denomination's view on issues but that are not binding on churches.	On Wednesday, attendees will vote on resolutions that express the Southern Baptist view on issues, but are not binding on individual churches.	3.273
4931	4974	main-news	headlines	2015	49	none	none	Renowned Spanish flamenco guitarist Paco De Lucia dies	Spanish flamenco guitarist Paco de Lucia dies at 66	4.6
3342	3370	main-news	MSRpar	2012train	640	none	none	The euro has slipped nearly four percent since matching a record peak of around $1.1935 only last week and hitting an all-time high of 140.90 yen in late May.	The euro has slipped as much as four cents since matching a record peak near $1.1935 last week and hitting a record high of 140.90 yen in late May.	4.333
1775	1775	main-captions	images	2015	835	none	none	Two people wearing hats sit and look at the camera.	A man wearing a blue shirt makes a grouchy face.	0.0
3363	3391	main-news	MSRpar	2012train	668	none	none	Named in the complaint were former chief executive officers Paul A. Allaire and G. Richard Thoman and former CFO Barry D. Romeril.	The executives fined included former Chief Executives Paul A. Allaire and G. Richard Thoman as well as former Chief Financial Officer Barry Romeril.	3.444
5027	5070	main-news	headlines	2015	288	none	none	Australia cuts rates to record low	Australia cuts interest rate to record low 2.75%	3.8
209	209	main-captions	MSRvid	2012test	307	none	none	A man is mowing a lawn.	A woman is cutting a lemon.	0.2
1338	1338	main-captions	images	2014	496	none	none	A dog peaks out the back of a truck.	A dog is peeking out of the back of a van.	3.6
2019	2022	main-forum	deft-forum	2014	22	none	none	I oppose the death penalty.	This is why I support the death penalty.	1.0
5498	5541	main-news	headlines	2015	1478	none	none	Italy bus crash death toll rises	Starbucks clears college degree path for workers	0.0
5357	5400	main-news	headlines	2015	1117	none	none	118 people killed in twin blasts in Nigeria	Ten killed in new blast in Russia	1.4
1168	1168	main-captions	images	2014	243	none	none	A buddha statue sits on a table with a wooden table runner.	A bird standing on top of a wooden fencepost.	0.4
