	index	genre	filename	year	old_index	source1	source2	sentence1	sentence2	score
1188	1188	main-captions	images	2014	275	none	none	A line outside of a bookstore on a street.	The yellow motorcycle is parked on the street.	0.4
4906	4949	main-news	headlines	2014	743	none	none	Pak missions in UAE gear up for elections	Islamist parties in Egypt unite for elections	1.4
2531	2540	main-news	MSRpar	2012test	151	none	none	It's also a strategic win for Overture, given that Knight Ridder had the option of signing on Google's services.	It's also a strategic win for Overture, given that Knight Ridder had been using Google's advertising services.	4.0
3676	3719	main-news	deft-news	2014	269	none	none	iran has noticeably increased the number of executions in recent months as officials enforce a campaign aimed at promoting virtue and boosting security in	iranian officials have increased executions in 2007 as officials enforce a campaign purportedly aimed at promoting virtue and boosting security in society.	3.6
1904	1904	main-captions	images	2015	1224	none	none	Two girls on the shore watch people in a boat fish.	Two males, one in red and one in white playing a basketball game.	0.0
3069	3095	main-news	MSRpar	2012train	215	none	none	Americans don't cut and run, we have to see this misadventure through, she said.	"She also pledged to bring peace to Iraq: ""Americans don't cut and run, we have to see this misadventure through."""	3.6
4930	4973	main-news	headlines	2015	48	none	none	German envoy optimistic about Iran-G5+1 talks	Iran 'cautiously optimistic' about future nuclear talks	1.4
89	89	main-captions	MSRvid	2012test	130	none	none	The men are playing cricket.	The men are playing basketball.	2.2
1457	1457	main-captions	images	2014	686	none	none	A green steam engine traveling on the railroad tracks.	A black steam train traveling on the railroad tracks.	3.0
141	141	main-captions	MSRvid	2012test	205	none	none	A woman is dancing.	A man is talking.	0.0
3358	3386	main-news	MSRpar	2012train	662	none	none	But the cancer society said its study had been misused.	The American Cancer Society and several scientists said the study was flawed in several ways.	2.25
4791	4834	main-news	headlines	2014	604	none	none	Singapore stocks end up 0.26 percent	Singapore stocks end up 0.11 pct	2.0
3465	3508	main-news	deft-news	2014	58	none	none	the treaty was amended in 1999 after the collapse of the soviet union.	the treaty was amended in 1999 to reflect changes since the soviet breakup.	4.0
4575	4618	main-news	headlines	2014	335	none	none	Hushen 300 Index closes higher -- Oct. 14	Hushen 300 Index closes lower -- March 12	2.0
695	695	main-captions	MSRvid	2012train	289	none	none	A man is lifting weights.	A man is lifting a barbell.	4.2
3699	3742	main-news	deft-news	2014	292	none	none	saudi arabia is an absolute monarchy that has taken steps towards reform.	saudi arabia is an absolute monarchy and has a consultative council appointed by the government.	3.4
430	430	main-captions	MSRvid	2012test	643	none	none	A man is tying his shoe.	A dog is riding on a bicyclists shoulders.	0.0
