	index	genre	filename	year	old_index	source1	source2	sentence1	sentence2	score
2077	2080	main-forum	deft-forum	2014	80	none	none	Is it legal to grow?	Yes, it's legal to grow.	2.6
1455	1455	main-captions	images	2014	684	none	none	Large silver locomotive engine in a shed.	A close-up of a silver train engine with a red stripe.	3.0
4197	4240	main-news	headlines	2013	612	none	none	Pak: 20 dead in anti-Islam film protests	25 injured in anti-Islam film protest in Islamabad, Pakistan	2.2
35	35	main-captions	MSRvid	2012test	54	none	none	A lion is playing with people.	A lion is playing with two men.	3.4
706	706	main-captions	MSRvid	2012train	305	none	none	A person is slicing a bread pieces.	A man is slicing bread.	3.2
1278	1278	main-captions	images	2014	408	none	none	A black and white photo of a cow walking under a tree in a field.	A black and white dog looking at the camera.	1.0
4419	4462	main-news	headlines	2014	144	none	none	Gunmen kill nine people in northwest Pakistan	Militants kill 6 soldiers in northwest Pakistan	2.6
1939	1939	main-captions	images	2015	1325	none	none	A woman sits alone against a brick wall	A woman is walking with a red bag.	1.2
5505	5548	main-news	headlines	2015	1493	none	none	Assad says Syria will comply with UN arms resolution	Syria's Assad vows to comply with U.N. resolution	4.8
3229	3256	main-news	MSRpar	2012train	472	none	none	Revenue rose 3.9 percent, to $1.63 billion from $1.57 billion.	The McLean, Virginia-based company said newspaper revenue increased 5 percent to $1.46 billion.	1.2
4033	4076	main-news	headlines	2013	404	none	none	Ecuador President Correa says no decision made on Assange asylum	Ecuador yet to decide on Assange's asylum	3.8
3812	3855	main-news	headlines	2013	131	none	none	Nigeria plane crash: No survivors	4 Chinese among Nigeria plane crash victims	2.6
352	352	main-captions	MSRvid	2012test	525	none	none	A woman peels an apple.	A man pops wheelies on a motorcycle.	0.0
611	611	main-captions	MSRvid	2012train	170	none	none	A woman is cracking eggs into a bowl.	A woman is cracking eggs.	4.0
3194	3220	main-news	MSRpar	2012train	423	none	none	The currency briefly weakened slightly on Monday to trade at 55.34/39, not far from its record low of 55.75.	The currency briefly weakened on Monday morning but rebounded to trade at 55.25/29, little changed from Friday.	2.25
2160	2163	main-forum	deft-forum	2014	163	none	none	We are all vessels filled with many wonders.	Landon Memory from CATS We are all vessels filled with many wonders.	3.0
2309	2312	main-forum	deft-forum	2014	312	none	none	I thought that was mostly just the Dutch.	In fact, it's just the Dutch.	2.6
2679	2694	main-news	MSRpar	2012test	380	none	none	Among three major candidates, Schwarzenegger is wining the battle for independents and crossover voters.	Schwarzenegger picks up more independents and crossover voters than Bustamante.	3.4
5468	5511	main-news	headlines	2015	1402	none	none	Israel Carrying Out Ground Offensive In Gaza	Israel Launches Ground Offensive In Gaza	4.8
4698	4741	main-news	headlines	2014	490	none	none	Houston Texans head coach Gary Kubiak hospitalized after collapsing at game	Texans coach Gary Kubiak in stable condition after collapse	2.8
3676	3719	main-news	deft-news	2014	269	none	none	iran has noticeably increased the number of executions in recent months as officials enforce a campaign aimed at promoting virtue and boosting security in	iranian officials have increased executions in 2007 as officials enforce a campaign purportedly aimed at promoting virtue and boosting security in society.	3.6
1809	1809	main-captions	images	2015	935	none	none	A person in a red vest is touching the blue ice skates on another person.	A lady fastens someone's ice skates in the snow.	2.2
2533	2542	main-news	MSRpar	2012test	156	none	none	Hoy confirmed the woman's age Tuesday and said she has left on vacation with her family.	Hoy confirmed the woman's age Tuesday and said she was on vacation with her family, but is expected to return this week.	3.4
1168	1168	main-captions	images	2014	243	none	none	A buddha statue sits on a table with a wooden table runner.	A bird standing on top of a wooden fencepost.	0.4
1379	1379	main-captions	images	2014	561	none	none	a close up of a small cactus in a pot.	a close up of a woman holding a white puppy.	0.8
1973	1973	main-captions	images	2015	1407	none	none	Three dogs play in a grassy field.	Some kids play in a field.	1.2
2304	2307	main-forum	deft-forum	2014	307	none	none	Genetic predisposition to cancer resistance is superior genetics.	Genetic predisposition to Alzheimer is inferior genetics.	1.4
5137	5180	main-news	headlines	2015	574	none	none	Gunmen Surround Libya's Foreign Ministry To Push Demands	Gunmen surround Libyan foreign ministry to push demands	5.0
1050	1050	main-captions	images	2014	69	none	none	A tan calf with a yellow tag on his left ear looking at the camera.	A man with glasses and two plastic bottles in the foreground.	0.6
3049	3073	main-news	MSRpar	2012train	177	none	none	WORLD No. 2 Lleyton Hewitt has accused the Association of Tennis Professionals of malice, including an alleged attempt last year to dupe him into refusing a drug test.	World No.2 Lleyton Hewitt has accused his professional peers of long-standing malice, including an attempt last year to dupe him into refusing a drug test.	4.0
3610	3653	main-news	deft-news	2014	203	none	none	physicist danilov was convicted of selling classified information on space technology to china.	physicist valentin danilov was found guilty of selling classified information on space technology to china.	4.4
2150	2153	main-forum	deft-forum	2014	153	none	none	My gosh, I'm the one with the pregnancy ticker.	I have the pregnancy ticker.	4.2
2289	2292	main-forum	deft-forum	2014	292	none	none	Jury nullification means a law isn't Constitutional?	No. Jury nullification does not mean that a law is unconstuitutional.	2.0
177	177	main-captions	MSRvid	2012test	262	none	none	The cats are playing with each other.	Two cats are fighting each other.	2.6
5352	5395	main-news	headlines	2015	1104	none	none	Four civilians, three NATO soldiers killed in Afghanistan	Three NATO soldiers killed in Afghanistan	3.4
1199	1199	main-captions	images	2014	295	none	none	A woman posing in front of an apartment building in the snow.	White bus parked in grass in front of building.	0.0
1982	1982	main-captions	images	2015	1449	none	none	A rugby player in dark gear is carrying a light colored rugby ball with arm outstretched.	A brown dog splashes in the water while carrying a ball in it's mouth.	0.4
606	606	main-captions	MSRvid	2012train	162	none	none	A man is shooting a gun.	A man is slicing a bun.	0.8
2700	2715	main-news	MSRpar	2012test	409	none	none	In a statement distributed Friday, 28 Chechen non-governmental organizations said they would boycott the vote.	In a statement distributed today, 28 Chechen non-governmental organisations said they would boycott the vote and warned voters to expect fraud.	4.2
3726	3769	main-news	headlines	2013	22	none	none	Three Tibetans self-immolate in western China: report	7 Tibetans self-immolate in China	2.4
4220	4263	main-news	headlines	2013	638	none	none	Chinese stocks close higher midday Friday	Chinese stocks higher at midday Friday	4.6
2164	2167	main-forum	deft-forum	2014	167	none	none	We're talking about angels and common pins again, right?	@Lustig Andrei, We're talking about angels and common pins again, right?	4.8
2752	2776	main-news	MSRpar	2012test	492	none	none	General Jeffrey said he would donate his military pension to charity for the period he was in office at Yarralumla.	Maj-Gen Jeffery said he would give his military pension to charity while he served at Yarralumla.	4.727
1765	1765	main-captions	images	2015	807	none	none	A man riding a motorcycle while wearing a black uniform.	A white motorcycle is being ridden around a race track.	1.4
1652	1652	main-captions	images	2015	471	none	none	A black dog is walking on the grass with a stick in it's mouth.	A boy holds a net with a snake in it close to the ground.	0.0
1371	1371	main-captions	images	2014	547	none	none	A gray cat with green eyes looks at the camera.	A grey cat with green eyes looking into the camera.	5.0
229	229	main-captions	MSRvid	2012test	336	none	none	A woman is drinking vodka.	A woman is exercising.	0.4
2431	2434	main-forum	deft-forum	2014	434	none	none	The jury is not told about juror nullification.	The quote you provide has nothing to do with jury nullification.	1.6
1197	1197	main-captions	images	2014	292	none	none	A white cat standing on a carpet.	A pretty white striped cat with his head hanging off the table.	1.6
1330	1330	main-captions	images	2014	487	none	none	Tan cow with ear tags on a grassy field.	Person in grassy field tending to sheep.	1.2
2816	2840	main-news	MSRpar	2012test	589	none	none	Some 660 prisoners from 42 countries, including Canada, are held, many captured during the war against in Afghanistan the al-Qaida network.	Some 660 prisoners from 42 countries are being held at the Naval base at Guantanamo Bay, many captured during the war against Al Qaeda in Afghanistan.	3.333
2300	2303	main-forum	deft-forum	2014	303	none	none	"What was the ""answer"" in Chicago?"	What will be the response in California?	1.2
1669	1669	main-captions	images	2015	511	none	none	A white dog walking in the snow.	A black and tan dog walking through the snow.	3.0
4630	4673	main-news	headlines	2014	398	none	none	Egypt's Brotherhood stands ground after killings	Egypt: Muslim Brotherhood Stands Behind Morsi	2.4
954	954	main-captions	MSRvid	2012train	679	none	none	A group of couples are dancing.	Men and women are dancing slowly.	3.333
3151	3177	main-news	MSRpar	2012train	351	none	none	Against the Japanese currency, the euro was at 135.92/6.04 yen against the late New York level of 136.03/14.	The dollar was at 117.85 yen against the Japanese currency, up 0.1 percent.	2.75
3958	4001	main-news	headlines	2013	313	none	none	WikiLeaks begins publishing two million Syria emails	WikiLeaks Releasing Trove of Syria Documents	3.4
3332	3360	main-news	MSRpar	2012train	629	none	none	Mr Colpin did not specify whether it was this system that was at the centre of the investigation.	Neither OLAF nor the Belgian prosecutors have specified if it was this system that was at the centre of the investigation.	2.2
2834	2858	main-news	MSRpar	2012test	621	none	none	He also could be barred permanently from the securities industry.	Young faces a fine, suspension or being permanently barred from the securities industry.	3.333
2972	2996	main-news	MSRpar	2012train	61	none	none	The audiotape aired last week by the Arab Al-Jazeera television network appears to be an effort to incite attacks.	An audiotape aired last week by the Arab al-Jazeera television network may be the strongest evidence yet that Saddam survived the war.	1.8
3789	3832	main-news	headlines	2013	104	none	none	Two reported dead in shooting at Empire State Building in NY	2 dead in shooting outside Empire State Building	4.6
47	47	main-captions	MSRvid	2012test	70	none	none	A man is cutting up a potato.	A man is cutting up carrots.	2.375
2231	2234	main-forum	deft-forum	2014	234	none	none	If you want to buy $ billion in XYZ Inc. common stock, who cares?	If you want to buy a house or a SUV, again, who cares?	1.4
4958	5001	main-news	headlines	2015	115	none	none	Iran predicts failure of Israeli-Palestinian peace talks	Tentative Deal Reached to Resume Israeli-Palestinian Talks - US	1.4
3661	3704	main-news	deft-news	2014	254	none	none	a key european arms control treaty must be maintained.	the cfe treaty is a key european arms control treaty.	2.2
1346	1346	main-captions	images	2014	506	none	none	A little bird floating in the water.	A duck floating in the water.	2.4
3465	3508	main-news	deft-news	2014	58	none	none	the treaty was amended in 1999 after the collapse of the soviet union.	the treaty was amended in 1999 to reflect changes since the soviet breakup.	4.0
3712	3755	main-news	headlines	2013	5	none	none	Israel ex-spy warns against 'messianic' Iran war	Israeli ex-spy boss: no trust in leadership over Iran – video	3.0
191	191	main-captions	MSRvid	2012test	283	none	none	A woman is doing weight exercises.	A woman is doing her hair.	0.5
52	52	main-captions	MSRvid	2012test	77	none	none	A man is playing a guitar.	A man is playing an electric guitar.	3.75
1650	1650	main-captions	images	2015	469	none	none	A dog leaping over a hurdle.	A dog leaps over the hurdle.	4.8
3139	3165	main-news	MSRpar	2012train	325	none	none	Rusch has also allowed five or more earned runs in each of his last three starts.	Redman has allowed two earned runs or less in six of his nine starts.	2.0
4380	4423	main-news	headlines	2014	96	none	none	Dolce and Gabbana convicted of tax evasion	Dolce and Gabbana Fined in Italian Tax Case	3.0
1648	1648	main-captions	images	2015	458	none	none	A man in a gray suit locking up a bicycle	A man and a woman standing on a city street.	0.4
3894	3937	main-news	headlines	2013	232	none	none	Putin claims victory in Russia's presidential election	Will Putin's Election Victory in Russia Be Greeted with Protests?	1.8
3076	3102	main-news	MSRpar	2012train	230	none	none	She asked to be excused from last week's Cabinet session to prepare for a meeting with the presidents of Rwanda and Uganda.	She took the highly unusual step of skipping cabinet to attend a meeting with the presidents of Rwanda and Uganda.	3.455
782	782	main-captions	MSRvid	2012train	421	none	none	The girl is riding the horse.	The girl is spraying the plants with water.	0.2
4723	4766	main-news	headlines	2014	523	none	none	China’s new carrier extends military modernization drive	Chinese vice premier meets Australian Governor-General	1.2
2072	2075	main-forum	deft-forum	2014	75	none	none	Should I just tell her how I feel?	Should I just wait it out and see how it goes?	2.2
46	46	main-captions	MSRvid	2012test	69	none	none	A woman is playing the flute.	A man is playing the guitar.	1.0
2462	2465	main-news	MSRpar	2012test	29	none	none	Microsoft acquired Virtual PC when it bought the assets of Connectix earlier this year.	Microsoft acquired Virtual PC from its developer, Connectix, earlier this year.	4.4
4582	4625	main-news	headlines	2014	342	none	none	Suicide Bombs Hit Egypt Military in Sinai, Kill 6	Suicide bombs hit Egypt military in Sinai, kill 4	2.8
5004	5047	main-news	headlines	2015	227	none	none	Seven Filipinos slain in Yemen attack	Syrian soldiers killed in bomb attack	0.8
