	index	genre	filename	year	old_index	source1	source2	sentence1	sentence2	score
5428	5471	main-news	headlines	2015	1299	none	none	North Korea test fires 30 missiles into the sea	N Korea 'fires 100 shells' into the sea	2.8
1317	1317	main-captions	images	2014	463	none	none	Two women in the kitchen looking at a object.	Three men in suits sitting at a table.	0.0
5278	5321	main-news	headlines	2015	914	none	none	China yuan weakens to 6.1059 against USD	China yuan strengthens to 6.1070 against USD Friday	1.6
4794	4837	main-news	headlines	2014	609	none	none	Dzhokhar Tsarnaev pleads not guilty to Boston bombing charges	Dzhokhar Tsarnaev charged in Boston Marathon bombing	2.6
163	163	main-captions	MSRvid	2012test	240	none	none	The man spread butter on the loaf of bread.	A man is spreading butter onto bread.	4.0
714	714	main-captions	MSRvid	2012train	314	none	none	A man is being put into an abulance.	A man is pouring pasta onto a plate.	0.0
5423	5466	main-news	headlines	2015	1288	none	none	Police stop Maldives presidential election	Keita Wins Mali Presidential Election	1.2
2971	2995	main-news	MSRpar	2012train	60	none	none	The University of Michigan released today a new admissions policy after the U.S. Supreme Court struck down in June the way it previously admitted undergraduates.	The University of Michigan plans to release a new undergraduate admissions policy Thursday after its acceptance requirements were rejected by the U.S. Supreme Court in June.	4.2
5190	5233	main-news	headlines	2015	702	none	none	Bodies of MH17 crash victims flown to Netherlands	MH17 dead flown back to Netherlands	4.8
677	677	main-captions	MSRvid	2012train	261	none	none	Someone is seasoning eggs.	Someone is seasoning two raw eggs in a bowl.	3.6
1207	1207	main-captions	images	2014	310	none	none	a jockey riding a horse.	A jockey riding a horse in a pen.	3.8
4023	4066	main-news	headlines	2013	394	none	none	Eurozone unemployment stays at record 11 percent	Eurozone unemployment hits record high	3.4
3352	3380	main-news	MSRpar	2012train	652	none	none	Stripping out the extraordinary items, fourth-quarter earnings were 64 cents a share compared to 25 cents a share in the prior year.	Earnings were 59 cents a share for the three months ended May 25 compared with 15 cents a share a year earlier.	1.0
3687	3730	main-news	deft-news	2014	280	none	none	the cfe is 1 of several issues negatively impacting russia's relations with the united states and europe.	the treaty is one of several issues causing tense relations between the governments of russia and the u.s. and europe.	4.0
1297	1297	main-captions	images	2014	437	none	none	A black and white photo of a living room with a large window, sofa, and chair.	A black and white scene of a well furnished room with a view outlooking a forest.	3.0
1509	1509	main-captions	images	2015	34	none	none	A man crouching and holding a camera.	The crouching man is holding a large camera.	4.6
2118	2121	main-forum	deft-forum	2014	121	none	none	Freedom of speech has consequences!	If freedom of speech has consequences then it is not free.	2.11111111111111
5511	5554	main-news	headlines	2016	25	Europe Media Monitor (http://emm.newsbrief.eu)	Europe Media Monitor (http://emm.newsbrief.eu)	Senate confirms Obama nominee to key appeals court	Senate approves Obama nominee to key appeals court	5.0
2963	2987	main-news	MSRpar	2012train	50	none	none	So far, they have searched Pennsylvania, Ohio, Michigan, Illinois and Indiana, authorities in those state said.	So far, authorities also have searched areas in Pennsylvania, Ohio, Indiana, and Michigan.	3.75
182	182	main-captions	MSRvid	2012test	270	none	none	A woman is adding oil on fishes.	A woman is pouring water on fish.	2.25
2933	2957	main-news	MSRpar	2012train	7	none	none	"Chavez said investigators feel confident they've got ""at least one of the fires resolved in that regard."""	"Albuquerque Mayor Martin Chavez said investigators felt confident that with the arrests they had ""at least one of the fires resolved."""	3.8
865	865	main-captions	MSRvid	2012train	544	none	none	A man is slicing a bun.	A man is breaking pots.	0.4
4238	4281	main-news	headlines	2013	661	none	none	China stocks open higher Wednesday	US stocks open higher despite GDP miss	0.8
2695	2710	main-news	MSRpar	2012test	399	none	none	Annika Sorenstam gets her first opportunity to test that objective this week at the McDonald's LPGA Championship.	The appetizer devoured, Annika Sorenstam moves on to the entree this week at the McDonald's LPGA Championship.	3.0
350	350	main-captions	MSRvid	2012test	522	none	none	Raccoons are eating.	A man is eating.	1.5
4239	4282	main-news	headlines	2013	662	none	none	IDF to deploy Iron Dome in Central Israel	Major snowstorm barrels down on Central Plains	0.0
4375	4418	main-news	headlines	2014	91	none	none	Iran's Rouhani warns of Talibanisation in Syria	Russia, China Concerned About Israeli Airstrikes in Syria	1.4
1604	1604	main-captions	images	2015	332	none	none	Two girls are sitting in front of a statue.	Two blonde girls are sitting next to a statue	3.8
3604	3647	main-news	deft-news	2014	197	none	none	sheik doon salad ilmi said civilian casualties resulting from overnight mortar and rocket attacks happen every day.	sheik doon salad ilmi stated that civilian casualties resulting from overnight mortar and rocket attacks are admitted to the hospital nearly every day.	3.6
3757	3800	main-news	headlines	2013	63	none	none	22 dead in suicide attack on Yemen police academy	AU forces intensify attack on Somali rebels	0.4
